Station ID, Station Name, Latitude, Longitude, Project
s09010, Oakland Outer Harbor LB3, 37.8082, -122.34434, San Francisco Bay PORTS
s10010, Oakland Inner Harbor LB4, 37.80097, -122.34775, San Francisco Bay PORTS
sn0101, Sabine Bank Channel LBB 34, 29.6735, -93.8355, Sabine Neches PORTS
sn0201, Sabine Pass \\(USCG Base\\), 29.72878, -93.87019, Sabine Neches PORTS
sn0301, Sabine Front Range, 29.75806, -93.89, Sabine Neches PORTS
sn0401, West Port Arthur Bridge, 29.82361, -93.96472, Sabine Neches PORTS
sn0501, Rainbow Bridge, 29.98111, -93.87111, Sabine Neches PORTS
sn0601, Port of Beaumont, 30.07972, -94.08623, Sabine Neches PORTS
sn0701, Port Arthur, 29.8667, -93.93111, Sabine Neches PORTS
t01010, Sunshine Skyway Bridge ADCP, 27.62065, -82.65525, Tampa Bay PORTS
t02010, Old Port Tampa, 27.86287, -82.55373, Tampa Bay PORTS
t03010, Port Manatee, 27.66395, -82.59877, Tampa Bay PORTS
t04010, Egmont Channel LB 9, 27.60424, -82.86742, Tampa Bay PORTS
